time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-02-25,16.4,8.6,1.6,1.55
2025-02-26,12.4,7.6,1.1,2.39
2025-02-27,14.5,7.1,0.0,2.53
2025-02-28,16.5,4.9,0.0,2.23
2025-03-01,16.1,8.8,1.5,1.75
2025-03-02,18.1,8.9,3.0,2.6
2025-03-03,17.8,7.6,0.0,2.59
2025-03-04,16.5,5.8,0.0,2.5500000000000003
2025-03-05,15.6,4.8,0.0,2.31
2025-03-06,14.9,7.7,6.2,2.05
2025-03-07,14.8,8.7,1.5999999999999999,1.77
2025-03-08,17.6,7.2,0.30000000000000004,2.48
2025-03-09,19.8,8.7,5.0,2.58
2025-03-10,20.2,8.6,0.1,3.11
2025-03-11,18.9,8.6,0.0,2.7600000000000002
2025-03-12,13.7,8.9,16.5,0.91
2025-03-13,18.0,8.2,2.0,2.59
2025-03-14,19.9,10.6,1.0,3.02
2025-03-15,16.0,7.7,3.3,1.72
2025-03-16,14.4,5.2,0.0,2.77
2025-03-17,15.0,5.2,2.1,2.31
2025-03-18,14.9,7.9,0.0,2.18
2025-03-19,15.6,6.9,0.0,2.8
2025-03-20,16.0,10.7,0.0,2.2
2025-03-21,16.7,10.2,0.0,2.2399999999999998
2025-03-22,21.0,11.9,0.0,3.2600000000000002
2025-03-23,17.4,8.9,0.0,2.89
2025-03-24,17.7,8.2,10.2,2.62
2025-03-25,16.5,7.6,0.30000000000000004,3.09
2025-03-26,15.2,7.0,4.5,2.71
2025-03-27,16.7,6.3,1.5,3.04
2025-03-28,15.6,8.4,0.9,2.88
2025-03-29,15.4,8.1,1.5,2.85
2025-03-30,18.5,8.1,1.8,3.24
2025-03-31,17.8,7.3,0.0,3.11
2025-04-01,16.9,7.2,0.0,3.69
2025-04-02,18.1,6.6,0.0,3.45
2025-04-03,19.9,7.3,0.0,3.72
2025-04-04,20.5,6.3,0.0,4.05
2025-04-05,22.0,5.7,0.0,4.22
2025-04-06,23.0,8.4,0.0,4.27
2025-04-07,21.8,9.4,0.0,4.1
2025-04-08,18.1,8.8,0.0,3.4699999999999998
2025-04-09,14.2,10.2,8.2,1.1400000000000001
2025-04-10,15.2,11.2,3.1,2.03
2025-04-11,17.1,11.1,1.2000000000000002,3.17
2025-04-12,16.5,12.1,6.8,3.5
2025-04-13,13.6,9.1,10.700000000000001,2.15
2025-04-14,14.4,8.6,4.7,2.85
2025-04-15,14.7,10.2,0.7000000000000001,2.81
2025-04-16,15.4,10.3,0.0,3.48
2025-04-17,17.1,9.7,0.0,3.45
2025-04-18,18.5,11.1,0.0,3.7
2025-04-19,23.5,11.3,0.0,4.71
2025-04-20,19.9,12.8,0.0,3.7
2025-04-21,26.4,14.7,0.0,4.49
2025-04-22,29.4,17.8,0.0,6.64
2025-04-23,19.9,15.8,0.0,3.8
2025-04-24,20.1,15.6,0.0,2.39
2025-04-25,19.1,14.8,0.0,4.12
2025-04-26,17.5,10.4,0.0,4.36
