time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,Date
2024-11-02,23.9,15.7,0.0,2.25,
2024-11-03,22.9,14.5,0.0,2.05,
2024-11-04,23.2,12.5,0.0,2.11,
2024-11-05,22.2,11.1,0.0,2.0,
2024-11-06,22.6,13.1,0.1,1.75,
2024-11-07,23.0,13.4,0.0,2.01,
2024-11-08,22.8,13.5,0.5,1.86,
2024-11-09,20.8,12.6,0.9,1.61,
2024-11-10,20.1,12.5,0.1,1.49,
2024-11-11,21.2,11.8,0.8,1.64,
2024-11-12,17.2,12.0,1.0,0.82,
2024-11-13,20.4,11.1,0.0,1.94,
2024-11-14,18.8,10.4,0.4,1.42,
2024-11-15,17.7,9.2,0.1,1.89,
2024-11-16,18.2,6.2,0.0,1.75,
2024-11-17,19.6,8.2,0.0,1.85,
2024-11-18,19.7,12.0,0.0,1.67,
2024-11-19,20.7,11.4,0.1,1.51,
2024-11-20,20.6,12.6,1.6,1.88,
2024-11-21,19.7,11.6,0.6,1.73,
2024-11-22,16.4,10.9,1.0,1.7,
2024-11-23,16.1,7.6,0.0,1.99,
2024-11-24,18.5,8.1,0.0,2.2,
2024-11-25,20.7,12.5,0.0,1.74,
2024-11-26,21.0,9.9,0.0,1.56,
2024-11-27,21.2,11.4,0.0,1.66,
2024-11-28,18.1,10.1,0.0,1.72,
2024-11-29,19.8,10.4,0.0,1.64,
2024-11-30,17.4,7.2,0.0,1.96,
2024-12-01,15.8,4.8,0.0,1.68,
2024-12-02,17.6,6.1,0.0,1.49,
2024-12-03,17.8,10.9,0.6,1.39,
2024-12-04,15.9,9.3,0.0,1.31,
2024-12-05,15.8,6.8,0.0,2.07,
2024-12-06,18.2,6.6,0.4,1.72,
2024-12-07,17.3,11.0,2.8,1.84,
2024-12-08,12.1,7.1,12.6,1.06,
2024-12-09,13.1,6.8,1.3,1.16,
2024-12-10,13.7,4.3,0.7,1.08,
2024-12-11,15.0,5.5,0.0,1.18,
2024-12-12,13.9,7.4,11.0,0.81,
2024-12-13,17.0,8.6,0.4,1.16,
2024-12-14,15.0,8.0,2.5,0.96,
2024-12-15,13.6,6.7,0.1,1.31,
2024-12-16,14.8,4.5,0.0,1.34,
2024-12-17,14.5,6.0,0.0,1.17,
2024-12-18,14.4,6.1,0.0,1.15,
2024-12-19,17.5,7.7,0.0,1.17,
2024-12-20,13.1,8.4,1.4,2.27,
2024-12-21,13.0,5.6,0.0,1.28,
2024-12-22,15.2,5.4,5.6,1.04,
2024-12-23,11.7,6.3,3.7,2.38,
2024-12-24,13.6,4.9,0.0,2.07,
2024-12-25,13.2,4.2,0.0,1.79,
2024-12-26,13.7,3.5,0.0,1.35,
2024-12-27,14.7,4.7,0.0,1.27,
2024-12-28,14.0,4.5,0.0,1.19,
2024-12-29,14.4,5.4,0.0,1.21,
2024-12-30,14.7,5.6,0.0,1.18,
2024-12-31,15.0,5.4,0.0,1.13,
2025-01-01,14.8,5.5,0.1,1.06,
2025-01-02,14.5,5.1,0.0,1.17,
2025-01-03,15.3,6.2,0.0,1.12,
2025-01-04,15.3,8.8,0.0,1.28,
2025-01-05,16.6,7.8,0.0,1.23,
2025-01-06,17.0,8.8,0.0,1.22,
2025-01-07,14.5,7.8,2.9,1.0,
2025-01-08,17.5,6.9,0.0,1.48,
2025-01-09,17.8,8.0,0.1,1.34,
2025-01-10,17.1,8.9,0.0,1.78,
2025-01-11,17.6,10.0,14.9,1.02,
2025-01-12,13.2,4.7,0.0,1.05,
2025-01-13,11.7,3.9,0.0,1.38,
2025-01-14,12.8,4.8,0.0,1.53,
