time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-01,31.5,16.4,0.0,6.31
2025-06-02,29.5,17.1,0.0,7.76
2025-06-03,29.6,15.6,0.0,7.66
2025-06-04,32.0,16.3,3.1,6.49
2025-06-05,31.2,17.2,0.8,5.71
2025-06-06,32.8,17.9,0.0,7.07
2025-06-07,35.5,20.0,0.0,8.2
2025-06-08,33.4,18.6,0.0,8.09
2025-06-09,31.4,16.7,0.0,8.06
2025-06-10,29.8,15.4,0.0,6.81
2025-06-11,32.0,17.1,0.0,6.55
2025-06-12,33.3,18.2,0.0,6.76
2025-06-13,34.7,18.1,0.0,7.69
2025-06-14,35.8,19.5,0.0,7.42
2025-06-15,37.4,22.0,0.0,8.31
2025-06-16,35.9,21.2,0.0,8.58
2025-06-17,30.9,19.2,0.0,7.68
2025-06-18,29.2,18.0,0.0,4.390000000000001
2025-06-19,31.2,17.9,0.30000000000000004,5.84
2025-06-20,32.8,19.2,0.0,7.5200000000000005
2025-06-21,34.2,19.5,0.0,6.91
2025-06-22,33.8,21.0,0.0,6.42
2025-06-23,34.2,20.7,0.0,7.5
2025-06-24,35.2,20.8,0.0,8.37
2025-06-25,37.0,22.0,0.0,7.3999999999999995
2025-06-26,37.8,22.2,0.0,7.82
2025-06-27,35.0,20.9,0.0,8.32
2025-06-28,35.5,20.0,0.0,6.88
2025-06-29,36.0,22.8,0.0,7.54
2025-06-30,35.0,21.9,0.0,7.57
2025-07-01,35.7,23.0,0.0,5.24
2025-07-02,36.8,23.8,0.0,6.5
2025-07-03,36.8,22.4,1.7,6.13
2025-07-04,37.5,22.5,0.4,5.93
2025-07-05,35.5,22.2,0.0,7.14
2025-07-06,36.2,21.6,0.0,8.08
2025-07-07,36.3,21.2,0.0,8.44
2025-07-08,35.7,21.1,0.0,7.8100000000000005
2025-07-09,36.2,19.7,0.0,8.7
2025-07-10,33.5,19.5,0.0,7.34
2025-07-11,35.2,19.3,0.0,6.04
2025-07-12,29.6,20.0,0.0,6.2
2025-07-13,29.2,22.1,0.0,5.760000000000001
2025-07-14,29.6,21.9,0.0,5.7700000000000005
2025-07-15,30.5,22.5,0.0,6.15
2025-07-16,30.6,22.9,0.0,6.54
2025-07-17,32.2,23.4,0.0,6.64
2025-07-18,29.9,23.5,0.0,6.2
2025-07-19,31.5,23.0,0.0,6.37
2025-07-20,35.3,22.5,0.0,6.02
2025-07-21,28.8,22.4,0.0,5.76
2025-07-22,30.4,21.7,0.0,6.54
2025-07-23,32.3,21.9,0.0,7.17
2025-07-24,34.3,23.3,0.0,8.07
2025-07-25,32.7,22.2,0.0,7.57
2025-07-26,29.6,21.9,0.0,6.18
2025-07-27,31.9,22.0,0.0,5.88
2025-07-28,32.8,24.0,0.0,7.0
2025-07-29,33.1,23.5,0.0,6.95
2025-07-30,35.3,23.7,0.0,7.18
2025-07-31,35.1,23.9,0.6000000000000001,6.84
