01 01 1950	9.0375 12.2875 4.8999996 0.75605404
02 01 1950	2.9875 11.337501 0.0 1.6780261
03 01 1950	0.6875 11.7375 0.0 0.9186323
04 01 1950	2.6875 12.8875 0.0 1.2345062
05 01 1950	3.9375 12.587501 0.0 1.0107932
06 01 1950	7.3875003 13.587501 0.0 1.2993182
07 01 1950	3.8875 14.1375 0.0 1.2516909
08 01 1950	2.3875 13.1875 0.0 1.1843766
09 01 1950	6.8875003 14.5375 0.0 1.1020026
10 01 1950	7.7875004 14.837501 0.0 0.98574024
11 01 1950	6.3875003 14.087501 0.5 0.99247426
12 01 1950	4.5875 14.587501 0.0 1.3244035
13 01 1950	4.3875003 14.4375 0.0 1.347979
14 01 1950	2.9375 12.0375 0.0 1.3556778
15 01 1950	4.4375 13.7875 0.0 1.085921
16 01 1950	7.0375004 14.1875 0.0 1.349352
17 01 1950	5.6375003 11.8875 0.5 0.90770984
18 01 1950	2.0375 9.9375 0.8000001 1.1452279
19 01 1950	0.4375 10.3875 0.2 1.1927687
20 01 1950	1.8375001 9.8875 0.0 1.1776437
21 01 1950	-0.21249998 10.6375 0.0 1.2215133
22 01 1950	1.0875001 11.1875 0.0 1.3946215
23 01 1950	5.7375 10.837501 4.9 1.5189714
24 01 1950	3.6875 10.2375 1.9 1.5161555
25 01 1950	2.7875 11.7875 0.1 0.9380973
26 01 1950	3.7375 13.087501 0.1 1.2018509
27 01 1950	7.3875003 14.5375 0.2 1.2377006
28 01 1950	5.2875004 13.6875 0.0 1.4285375
29 01 1950	6.6875 13.5375 0.0 1.3263806
30 01 1950	4.8375 11.9375 0.90000004 1.3635293
31 01 1950	0.5375 11.9875 0.0 1.5255985
01 02 1950	0.4375 11.3875 0.0 1.4344262
02 02 1950	0.5375 13.7375 0.2 1.5252522
03 02 1950	2.6375 12.4875 0.0 1.3050011
04 02 1950	3.1875 13.1375 0.3 1.3042791
05 02 1950	5.4875 12.6375 1.5000001 1.3888277
06 02 1950	4.3875003 12.3875 6.0 0.6391341
07 02 1950	4.4875 11.1875 0.3 1.3043195
08 02 1950	5.5875 13.337501 0.5 1.8057525
09 02 1950	8.3375 11.4375 1.2 2.286683
10 02 1950	10.3875 13.9375 0.0 2.3813114
11 02 1950	6.4875 16.4875 0.0 2.1584022
12 02 1950	5.1375003 13.7875 0.0 1.9854127
